cittadinanza,genere,comune_pdf,provenienza,classe_eta,eta,conta
Marocco,M,Bra,Africa,Adulto,44,515
Marocco,M,Bra,Africa,Giovane adulto,35,515
India,M,Bra,India,Giovane,22,515
Tunisia,M,Bra,Africa,Giovane,26,515
India,M,Bra,India,Giovane,30,515
Romania,M,Bra,Euro-est,Adulto,43,515
Repubblica popolare cinese,F,Bra,India,Adulto,47,515
Repubblica popolare cinese,F,Bra,India,Adulto,49,515
Repubblica popolare cinese,M,Bra,India,Giovane adulto,33,515
Marocco,M,Bra,Africa,Anziano,54,515
Afghanistan,M,Bra,India,Giovane,26,515
Repubblica popolare cinese,F,Bra,India,Anziano,56,515
Albania,M,Bra,Euro-est,Adulto,45,515
Romania,M,Bra,Euro-est,Giovane,21,515
Nigeria,F,Bra,Sub-shara,Adulto,46,515
Marocco,F,Bra,Africa,Giovane adulto,38,515
Bangladesh,M,Bra,India,Giovane,30,515
Pakistan,M,Bra,India,Giovane adulto,32,515
Marocco,M,Bra,Africa,Anziano,56,515
Argentina,M,Bra,Americhe,Giovane adulto,34,515
India,F,Bra,India,Giovane adulto,31,515
Costa d'avorio,M,Bra,Sub-shara,Giovane,26,515
Albania,F,Bra,Euro-est,Adulto,43,515
Romania,M,Bra,Euro-est,Anziano,60,515
India,M,Bra,India,Giovane adulto,36,515
India,M,Bra,India,Giovane,22,515
Repubblica popolare cinese,M,Bra,India,Adulto,45,515
Marocco,M,Bra,Africa,Anziano,51,515
Albania,M,Bra,Euro-est,Anziano,65,515
Macedonia,M,Bra,Euro-est,Adulto,50,515
Albania,F,Bra,Euro-est,Anziano,56,515
Repubblica popolare cinese,F,Bra,India,Anziano,51,515
Romania,F,Bra,Euro-est,Anziano,52,515
Repubblica dominicana,F,Bra,Americhe,Giovane adulto,37,515
Albania,F,Bra,Euro-est,Anziano,56,515
Bra,M,Bra,Italia,Giovane,27,515
Marocco,M,Bra,Africa,Anziano,61,515
Romania,M,Bra,Euro-est,Anziano,55,515
Marocco,M,Bra,Africa,Giovane,28,515
Nizza monferrato,F,Bra,Italia,Adulto,48,515
Alba,M,Bra,Italia,Giovane,21,515
Bangladesh,M,Bra,India,Giovane,26,515
Egitto,M,Bra,Africa,Giovane adulto,34,515
Bangladesh,M,Bra,India,Adulto,47,515
Repubblica popolare cinese,F,Bra,India,Adulto,50,515
Repubblica popolare cinese,F,Bra,India,Adulto,50,515
Bangladesh,M,Bra,India,Adulto,42,515
Bra,M,Bra,Italia,Giovane,24,515
Albania,F,Bra,Euro-est,Giovane adulto,40,515
India,M,Bra,India,Adulto,41,515
Senegal,M,Bra,Sub-shara,Giovane adulto,39,515
India,M,Bra,India,Adulto,50,515
Romania,F,Bra,Euro-est,Giovane adulto,36,515
Trabia,M,Bra,Italia,Anziano,55,515
Bangladesh,M,Bra,India,Giovane,25,515
Morra,F,Bra,Italia,Anziano,65,515
India,M,Bra,India,Giovane adulto,31,515
Egitto,M,Bra,Africa,Adulto,49,515
Francavilla angitola,M,Bra,Italia,Anziano,76,515
Albania,M,Bra,Euro-est,Anziano,57,515
India,M,Bra,India,Giovane adulto,38,515
Marocco,F,Bra,Africa,Anziano,53,515
Romania,F,Bra,Euro-est,Giovane adulto,35,515
Repubblica popolare cinese,M,Bra,India,Adulto,42,515
India,M,Bra,India,Giovane adulto,35,515
India,M,Bra,India,Giovane,24,515
Repubblica popolare cinese,M,Bra,India,Anziano,59,515
Bra,F,Bra,Italia,Anziano,74,515
Cuneo,F,Bra,Italia,Giovane,28,515
Repubblica popolare cinese,M,Bra,India,Adulto,49,515
Piazza armerina,M,Bra,Italia,Anziano,66,515
Somalia,M,Bra,Sub-shara,Giovane,24,515
Marocco,M,Bra,Africa,Anziano,52,515
Marocco,F,Bra,Africa,Adulto,49,515
Repubblica dominicana,M,Bra,Americhe,Giovane,21,515
Albania,M,Bra,Euro-est,Adulto,41,515
India,M,Bra,India,Anziano,52,515
Marocco,M,Bra,Africa,Giovane adulto,34,515
India,M,Bra,India,Adulto,44,515
Somalia,M,Bra,Sub-shara,Giovane adulto,39,515
Bra,M,Bra,Italia,Anziano,63,515
